Day,Person,Menu1,Menu2,Menu3,Menu4,Menu5,Menu6,Menu7,Menu8
fri,148,햄김치볶음밥계란지단,유부장국,타코야끼,어묵잡채,,열무김치,망고주스,
mon,132,기장밥,돼지고기김치찌개,매콤간장찜닭,단호박범벅,오이양파무침,깍두기,꽃맛살샐러드,
tue,113,렌틸콩밥백미밥,해물짬뽕국,하이라이스,교자만두비빔야채,사각어묵볶음,배추김치,수제마늘빵,
wed,197,햄김치볶음밥계란지단,유부된장국,눈꽃치즈찜닭,볼어묵깐풍기,,깍두기,매실주스,
thu,144,흑미밥,콩나물냉국,동인동찜갈비,알감자조림,부추양파무침,배추김치,그린샐러드,
fri,160,찰밥,영양닭죽큰그릇,김치왕만두초간장,도토리묵무침,오이고추된장무침,깍두기,살얼음수제식혜,
mon,137,백미밥,열무냉면큰그릇,파채치킨까스양념소스,옥수수계란찜,,무절임,석류주스,
tue,98,김밥볶음밥주먹밥,가쓰오장국,로제떡볶이,순대장,,단무지무침,바이오거트,
wed,193,잡채덮밥,오이미역냉국,짜장소스,깐풍탕수육,,단무지무침,매실주스,
thu,182,기장밥,육개장,생선까스콘소스,야채쫄면,치커리유자생채,깍두기,요구르트,
fri,131,작은밥,골뱅이물회,부추오징어전,콘버터구이,,배추김치,아이스홍초,
mon,134,흑미밥,청량된장찌개,제육불고기,고깃집콩나물무침,상추깻잎쌈쌈장,배추김치,밤만쥬,
tue,91,밥버거참치마요.볶음김치,얼큰어묵탕,돈까스샐러드,어니언감자치즈소스,,수제피클,수박,
wed,159,기장밥,닭개장,떡갈비구운야채,연근엿장조림,삼색겨자냉채,깍두기,망고주스,
mon,149,흑미밥,소고기미역국,매운돈갈비찜,꽃맛살샐러드,오이송송이,배추김치,아이스홍초,
tue,153,김가루작은밥,냉모밀,새우튀김허니머스타드,몽글계란찜,,비트무피클,냉미숫가루,
wed,115,감자탕볶음밥,팽이된장국,브로콜리비엔나볶음,푸실리펜네샐러드,견과류멸치볶음,깍두기,수박,
thu,82,백미밥,순대국밥다대기,오징어초무침,왕만두초간장,무양파간장지,깍두기,그린샐러드,
fri,169,차조밥,청량콩나물냉국,구름치즈찜닭,타코야끼,방울토마토샐러드,배추김치,매실주스,
mon,158,기장밥,닭곰탕,고추장불고기,알감자엿장조림,리코타샐러드발사믹d,배추김치,식혜,
tue,112,떠먹는유부초밥,미니우동,매콤국물떡볶이,납작만두양념장,단무지무침,배추김치,어니언치즈감자,
wed,112,참치야채비빔밥,미소된장국,돈육메알장조림,연두부양념장,김가루무침,배추김치,석류주스,
thu,59,흑미밥,소고기국밥큰그릇,새우까스탈탈소스,매콤어묵볶음,피자또띠아,깍두기,그린샐러드,
mon,130,차조밥,황태미역국,제육볶음,감자고로케케찹,고깃집콩나물무침,배추김치,미숫가루,
