6,10,목,623,132,28,36,427,갈릭목살필라프,유부장국,비엔나떡볶음,알감자버터구이,97
6,11,금,623,187,28,15,393,백미밥,설렁탕,미니메밀전병,부들어묵마늘쫑볶음,71
6,14,월,623,181,28,10,404,계란야채볶음밥,해물짬뽕국,야채듬뿍짜장,후르츠탕수육,161
6,15,화,623,115,28,7,473,흑미밥,콩나물냉국,고구마닭갈비,우민찌연근조림,127
6,16,수,623,132,28,17,446,귀리밥,경상도소고기국,제육불고기,견과류멸치볶음,143
6,17,목,623,132,28,37,426,차조밥,참치김치찌개,매콤떡갈비찜,열무비빔국수,107
6,18,금,623,160,26,21,416,김가루주먹밥,우동국물,국물떡볶이,순대,93
6,21,월,623,147,28,13,435,베이컨김치볶음밥,들깨미역국,생선까스,불맛어묵볶음,140
6,22,화,615,129,27,16,443,귀리밥,얼큰순두부찌개,백순대야채볶음,맛살계란찜,151
6,23,수,615,123,27,15,450,오므라이스미트볼데미S,유부장국,푸실리펜네샐러드,수제피클,112
6,24,목,614,124,27,22,441,흑미밥,김치수제비국,파채불고기,한식잡채,109
6,25,금,614,164,27,16,407,백미밥,순대국밥,감자야채전,온두부,60
6,28,월,613,129,27,16,441,잡곡밥,짬뽕순두부국,바몬드카레,순살돈까스,187
6,29,화,613,118,28,9,458,흑미밥,육개장,데리야끼제육볶음,야채쫄면,118
6,30,수,613,119,28,16,450,미니밥,동치미열무국수,닭강정,풋고추된장무침,116
7,01,목,613,124,28,26,435,취나물밥,된장찌개,짚신매운갈비찜,콘치즈버터구이,84
7,02,금,612,182,28,36,366,떠먹는유부초밥,우동국물,반반떡볶이,만두,71
7,05,월,612,129,26,19,438,완두콩밥백미밥,얼큰어무국,돈육짜장소스,탕수육,154
7,06,화,612,96,26,19,471,흑미밥,도토리무채국,매콤닭갈비,감자마카로니범벅,119
7,07,수,612,136,26,25,425,참치야채비빔밥,청량된장찌개,비엔나떡볶음,야채계란찜,147
7,08,목,612,107,26,51,428,기장밥,황태미역국,돈육두루치기,교동양념어묵,105
7,09,금,645,160,26,29,430,백미밥,닭장각삼계탕,오징어초무침,무앙파지,83
7,12,월,645,141,27,21,456,흑미밥,만두육개장,떡갈비,견과류멸치볶음,175
7,13,화,644,120,27,20,477,콩나물밥,아욱두부된장국,고추장불고기,고구마,154
7,14,수,644,110,27,23,484,햄김치볶음밥계란지단,유부장국,타코야끼,어묵잡채,148
7,15,목,644,126,27,39,452,기장밥,돼지고기김치찌개,매콤간장찜닭,단호박범벅,132
7,16,금,644,187,27,18,412,렌틸콩밥백미밥,해물짬뽕국,하이라이스,교자만두,113
7,19,월,643,115,26,16,486,햄김치볶음밥계란지단,유부된장국,눈꽃치즈찜닭,볼어묵깐풍기,197
7,20,화,643,112,26,18,487,흑미밥,콩나물냉국,동인동찜갈비,알감자조림,144
7,21,수,643,116,26,25,476,찰밥,영양닭죽,김치왕만두,도토리묵무침,160
7,22,목,642,147,26,39,430,백미밥,열무냉면,파채,옥수수계란찜,137
7,23,금,643,195,26,27,395,김밥볶음밥(주먹밥),가쓰오장국,로제떡볶이,순대,98
7,26,월,644,152,26,22,444,쌀밥,오이미역냉국,짜장소스,깐풍탕수육,193
7,27,화,644,118,26,23,477,기장밥,육개장,생선까스,야채쫄면,182
7,28,수,644,135,26,24,459,작은밥,없음,부추오징어전,콘버터구이,131
7,29,목,643,170,26,36,411,흑미밥,청량된장찌개,제육불고기,고깃집콩나물무침,134
7,30,금,643,212,26,19,386,쌀밥,얼큰어묵탕,돈까스샐러드,어니언감자치즈소스,91
8,02,월,643,168,26,15,434,기장밥,닭개장,떡갈비,연근엿장조림,159
8,03,화,643,138,26,18,461,흑미밥,소고기미역국,매운돈갈비찜,꽃맛살샐러드,149
8,04,수,644,139,26,69,410,김가루작은밥,냉모밀,새우튀김,몽글계란찜,153
8,05,목,644,149,26,45,424,감자탕볶음밥,팽이된장국,브로콜리비엔나볶음,푸실리펜네샐러드,115
8,06,금,644,220,26,43,355,백미밥,순대국밥,오징어초무침,왕만두,82
8,09,월,644,152,27,48,417,차조밥,청량콩나물냉국,구름치즈찜닭,타코야끼,169
8,10,화,644,151,27,38,428,기장밥,닭곰탕,고추장불고기,알감자엿장조림,158
8,11,수,644,172,27,48,397,떠먹는유부초밥,미니우동,매콤국물떡볶이,납작만두,112
8,12,목,645,154,27,21,443,참치야채비빔밥,미소된장국,돈육메알장조림,연두부,112
8,13,금,645,236,27,16,366,흑미밥,소고기국밥,새우까스,매콤어묵볶음,59
8,17,화,645,231,27,21,366,차조밥,황태미역국,제육볶음,감자고로케,130
8,18,수,645,191,27,33,394,작은밥,크림스프,순살돈까스,미트토마토스파게티,136
8,19,목,645,194,27,19,405,취나물밥,돈육김치찌개,오징어야채볶음,깻잎멸치조림,103
8,20,금,645,266,27,22,330,미니야채볶음밥,없음,짜장면,후르츠탕수육,77
8,23,월,643,206,27,22,388,흑미밥,두부된장찌개,동인동찜갈비,콘버터구이,178
8,24,화,643,180,27,21,415,차조밥,매콤콩나물국,안동찜닭,온두부,145
8,25,수,643,170,27,34,412,기장밥,육개장,불맛제육볶음,삼색계란찜,105
8,26,목,643,209,27,23,384,베이컨김치볶음밥,유부장국,비엔나떡볶음,연근땅콩조림,101
8,27,금,643,282,27,22,312,백미밥,등뼈해장국,모듬장조림,부추양파겉절이,71
8,30,월,643,205,27,15,396,기장밥,청량된장찌개,고추장불고기,비빔막국수,160
8,31,화,643,209,27,18,389,흑미밥,부대찌개,생선까스,매콤어묵볶음,141
9,01,수,643,153,29,35,426,차조밥,북어계란국,춘천닭갈비,알감자엿장조림,145
9,02,목,642,135,29,15,463,완두콩밥,미소장국,렌틸콩카레소스,교자만두,96
9,03,금,642,189,29,12,412,백미밥,설렁탕,오징어김치전,한식잡채,72
9,06,월,642,170,29,9,434,흑미밥,들깨미역국,버섯간장불고기,양념어묵,174
9,07,화,642,161,29,18,434,차조밥,닭개장,돈육메추리알조림,맛살계란찜,111
9,08,수,642,158,29,50,405,쌀밥,해물짬뽕국,마파두부소스,새우튀김,131
9,09,목,641,180,29,33,399,잡곡밥,사골된장찌개,돈육김치찜,도토리묵무침,93
9,10,금,641,204,29,42,366,후리가케주먹밥,가쓰오우동,로제떡볶이,모듬튀김,70
9,13,월,658,147,29,16,466,차조밥,얼큰어묵국,뼈없는안동찜닭,어슷우엉조림,134
9,14,화,658,133,29,15,481,취나물밥,청양된장찌개,제육볶음,맛살콩나물냉채,128
9,15,수,658,118,29,31,480,베이컨김치볶음밥,들깨미역국,계란후라이,돈까스샐러드,122
9,16,목,657,148,29,19,461,흑미밥,감자수제비국,제육김치볶음,온두부,99
9,17,금,657,249,29,43,336,잡곡밥,닭개장,오징어김치전,감자조림,53
9,23,목,659,255,29,17,358,흑미밥,돈육김치찌개,오징어까스,쫄면야채무침,81
9,24,금,659,257,29,31,342,잡곡밥,소고기국밥,감자야채전,견과류멸치볶음,61
9,27,월,658,140,29,0,489,차조밥,북어채계란국,고추장불고기,야채고로케,177
9,28,화,658,144,29,18,467,강낭콩밥,참치김치찌개,비엔나브로콜리볶음,사각어묵조림,170
9,29,수,658,159,29,13,457,완두콩밥,떡만두국,짜장소스,칠리표고탕수육,150
10,01,금,658,197,27,24,410,잡곡밥,순대국밥,오징어초무침,야채부추전,62
10,05,화,657,151,27,13,466,차조밥,김치공나물국,크리미어니언치킨까스,가지마파소스볶음,119
10,06,수,657,141,27,7,482,완두콩밥,뜨끈어묵국,순살야채찜닭,국물떡볶이,129
10,07,목,657,163,27,11,456,흑미밥,돈등뼈감자탕,한식잡채,단호박견과찜,83
10,08,금,657,219,27,29,382,잡곡밥,맑은소고기무국,비빔메밀국수,군만두,64
10,12,화,657,142,28,13,474,차조밥,얼큰 오징어무국,비엔나소시지떡볶음,우엉튀김조림,145
10,13,수,657,143,28,10,476,보리열무비빔밥,청양초된장찌개,청양초된장찌개,볶음고추장,123
10,14,목,657,165,28,14,450,완두콩밥,미니우동,피자치즈돈까스,브로콜리맛살볶음,110
10,15,금,657,200,28,22,407,미니,바지락칼국수,단호박,김치,54
10,18,월,690,132,28,14,516,차조밥,새알심미역국,콩나물불고기,스크램블에그,153
10,19,화,690,142,28,5,515,강낭콩밥,꽃게된장국,뼈없는안동찜닭,매운어묵,103
10,20,수,690,133,28,9,520,흑미밥,돈육고추장찌개,동그랑땡전,두부무조림,129
10,21,목,690,136,28,15,511,완두콩밥,소고기무국,해물볶음우동,탕수만두,79
10,22,금,690,201,28,15,446,쌀밥,영양닭죽,오징어김치전,모듬야채스틱,47
10,25,월,688,157,28,11,492,차조밥,얼큰콩나물국,제육간장불고기,한식잡채,136
10,26,화,688,123,28,9,528,완두콩밥,모듬어묵국,브로콜리카레소스,치킨까스샐러드,128
10,27,수,688,130,28,14,516,흑미밥,순두부찌개,돈육장조림,깻잎멸치볶음,78
10,28,목,688,160,28,19,481,강낭콩밥,호박수제비국,닭살데리야끼조림,매콤감자조림,88
10,29,금,688,190,28,22,448,소시지오므라이스,두부미역장국,푸실리샐러드,수제피클,60
11,01,월,688,145,28,16,499,차조밥,시락국,제육볶음,온두부,187
11,02,화,688,120,28,11,529,검정콩밥,맑은미역국,매운돈갈비찜,부들계란찜,134
11,03,수,688,128,28,9,523,흑미밥,순대국밥,사각어묵볶음,모듬야채스틱,123
11,04,목,688,137,28,18,505,완두콩밥,크림스프,등심돈까스,토마토스파게티,89
11,05,금,688,176,28,22,462,잡곡밥,떡국,동그랑땡전,오징어무침회,66
11,08,월,688,156,28,19,485,차조밥,돈육김치찌개,생선까스,어슷우엉콩조림,188
11,09,화,688,130,27,10,521,완두콩밥,해물짬뽕국,짜장소스,칠리탕수육,117
11,10,수,688,125,27,10,526,흑미밥,닭개장,비엔나브로콜리볶음,두부무조림,107
11,11,목,688,134,27,13,514,후리가케밥,모듬어묵국,깐부오징어치킨,매콤떡볶이,83
11,12,금,687,197,27,20,443,미니,잔치국수,왕만두,아삭고추된장무침,71
11,15,월,687,141,27,10,509,차조밥,맑은소고기무국,아귀콩나물찜,우엉강정,144
11,16,화,686,119,27,16,524,강낭콩밥,배추시락국,돈육고추장볶음,달콤감자조림,124
11,17,수,686,108,27,9,542,완두콩밥,미니우동,피자치즈돈까스,브로콜리맛살볶음,119
