Date,Day,Person,Menu1,Menu2,Menu3,Menu4,Menu5,Menu6,Menu7
2021-05-26,mon,141,미니밥,열무냉면,매콤조각돈까스,콘슬로우샐러드,,냉면김치,생채비빔나물
2021-05-27,tue,130,쌀밥/김치볶음밥,맑은콩나물국,동인동갈비찜,계란후라이,구운버섯샐러드/오리엔탈D,깍두기,오렌지
2021-05-28,wed,75,쌀밥/잡곡밥,돼지국밥&다대기,깻잎감자채전,도토리묵무침,풋고추양파지,깍두기,요구르트
2021-05-31,thu,156,쌀밥/귀리밥,들깨미역국,북성로불고기,핫도그/케찹,상추파채겉절이,포기김치,그린샐러드/요거트d
2021-06-01,fri,140,쌀밥/흑미밥,오이냉국,안동찜닭(당면),비빔꼬마만두,고추멸치볶음,포기김치,약과
2021-06-02,mon,115,잡곡밥,양송이스프,파인함박스테이크,토마토파스타,,수제피클,생채비빔나물
2021-06-03,tue,131,쌀밥/수수밥,닭개장,제육볶음,고구마&떡맛탕,온두부,볶음김치,요구르트
2021-06-04,wed,93,쌀밥/야채볶음밥,미니우동,렌틸콩,왕새우튀김/머스타드,그린샐러드/오리엔탈d,배추김치,수제요거트
2021-06-07,mon,170,쌀밥/흑미밥,부대찌개,버섯불고기,콘치즈그라탕,치커리무생채,배추김치,미숫가루
2021-06-08,tue,127,쌀밥/귀리밥,두부된장국,묵은지돼지갈비찜,막국수,콩나물부추무침,깍두기,그린샐러드&키위d
2021-06-09,wed,130,후리가케볶음밥,냉잔치국수,깐풍칠리만두,풋고추된장무침,,배추김치,요구르트
2021-06-10,thu,97,갈릭목살필라프,유부장국,비엔나떡볶음,알감자버터구이,단배추겉절이,배추김치,그린샐러드&발사믹d
2021-06-11,fri,71,백미밥,설렁탕(큰그릇),미니메밀전병,부들어묵마늘쫑볶음,,깍두기,망고주스
2021-06-14,mon,161,계란야채볶음밥,해물짬뽕국,야채듬뿍짜장,후르츠탕수육,사우젼d샐러드,단무지무침,요구르트
2021-06-15,tue,127,쌀밥/흑미밥,콩나물냉국,고구마닭갈비,우민찌연근조림,청경채양배추무침,배추김치,청포도주스
2021-06-16,wed,143,쌀밥/귀리밥,경상도소고기국,제육불고기,견과류멸치볶음,오이양파무침,깍두기,그린샐러드/오리엔탈d
2021-06-17,thu,107,쌀밥/차조밥,참치김치찌개,매콤떡갈비찜,열무비빔국수,상추쌈*쌈장,깍두기,냉녹차
2021-06-18,fri,93,김가루주먹밥,우동국물,국물떡볶이,순대&김말이튀김,치커리유자생채,배추김치,단호박건포도범벅
2021-06-21,mon,140,쌀밥/베이컨김치볶음밥,들깨미역국,생선까스&콘소스,불맛어묵볶음,황도샐러드&요거트d,깍두기,매실주스
2021-06-22,tue,151,쌀밥/귀리밥,얼큰순두부찌개,백순대야채볶음,맛살계란찜,마늘쫑장아찌,배추김치,그린샐러드&발사믹d
2021-06-23,wed,112,오므라이스/미트볼데미S,유부장국,푸실리펜네샐러드,수제피클,,배추김치,마늘빵
2021-06-24,mon,109,쌀밥/흑미밥,김치수제비국,파채불고기,한식잡채,치커리무생채,깍두기,석류주스
2021-06-25,tue,60,백미밥,순대국밥/다대기,감자야채전,온두부&양념장,무양파지,배추김치,식혜
2021-06-28,wed,187,쌀밥/잡곡밥,짬뽕순두부국(가),바몬드카레,순살돈까스/데미S,양상추샐러드/(발사믹드레싱),배추김치,아이스홍초
2021-06-29,thu,118,쌀밥/흑미밥,육개장,데리야끼제육볶음,야채쫄면,상추파채겉절이,깍두기,약과
2021-06-30,fri,116,미니밥,동치미열무국수,닭강정,풋고추된장무침,,수제무피클,비빔나물/비빔장
2021-07-01,mon,84,쌀밥/취나물밥/양념장,된장찌개,짚신매운갈비찜,콘치즈버터구이,치커리무생채,배추김치,그린샐러드
2021-07-02,tue,71,떠먹는유부초밥,우동국물,반반떡볶이(로제/고추장),만두&어묵튀김,꽃맛살와사마요샐러드,단무지무침,요구르트
2021-07-05,wed,154,완두콩밥/백미밥,얼큰어무국,돈육짜장소스,탕수육/깐풍S,아일랜드d샐러드,깍두기,밤만쥬빵
2021-07-06,thu,119,쌀밥/흑미밥,도토리무채국,매콤닭갈비,감자마카로니범벅,삼색냉채,배추김치,석류주스
2021-07-07,fri,147,참치야채비빔밥&초장,청량된장찌개,비엔나떡볶음,야채계란찜,김가루대파무침,배추김치,바나나
2021-07-08,mon,105,쌀밥/기장밥,황태미역국,돈육두루치기,교동양념어묵,스틱채소&양배추쌈(오이.당근),배추김치,그린샐러드
2021-07-09,tue,83,백미밥,닭장각삼계탕,오징어초무침,무앙파지,,깍두기,수제식혜
2021-07-12,wed,175,쌀밥/흑미밥,만두육개장(큰그릇),떡갈비&구운야채,견과류멸치볶음,치커리무생채,깍두기,매실주스
2021-07-13,thu,154,콩나물밥*양념장,아욱두부된장국,고추장불고기,고구마&떡강정,부추겉절이,배추김치,그린샐러드
2021-07-14,fri,148,햄김치볶음밥/계란지단,유부장국,타코야끼,어묵잡채,,열무김치,망고주스
2021-07-15,mon,132,쌀밥/기장밥,돼지고기김치찌개,매콤간장찜닭,단호박범벅,오이양파무침,깍두기,꽃맛살샐러드
2021-07-16,tue,113,렌틸콩밥/백미밥,해물짬뽕국,하이라이스,교자만두&비빔야채,사각어묵볶음,배추김치,수제마늘빵
2021-07-19,wed,197,햄김치볶음밥/계란지단,유부된장국,눈꽃치즈찜닭,볼어묵깐풍기,,깍두기,매실주스
2021-07-20,thu,144,쌀밥/흑미밥,콩나물냉국,동인동찜갈비,알감자조림,부추양파무침,배추김치,그린샐러드
2021-07-21,fri,160,찰밥,영양닭죽(큰그릇),김치왕만두*초간장,도토리묵무침,오이고추된장무침,깍두기,살얼음수제식혜
2021-07-22,mon,137,백미밥,열무냉면(큰그릇),파채&치킨까스/양념소스,옥수수계란찜,,무절임,석류주스
2021-07-23,tue,98,김밥볶음밥(주먹밥),가쓰오장국,로제떡볶이,순대/장,,단무지무침,바이오거트
2021-07-26,wed,193,*잡채덮밥*,오이미역냉국,짜장소스,깐풍탕수육,,단무지무침,매실주스
2021-07-27,thu,182,쌀밥/기장밥,육개장,생선까스*콘소스,야채쫄면,치커리유자생채,깍두기,요구르트
2021-07-28,fri,131,작은밥,*골뱅이물회*,부추오징어전,콘버터구이,,배추김치,아이스홍초
2021-07-29,mon,134,쌀밥/흑미밥,청량된장찌개,제육불고기,고깃집콩나물무침,상추&깻잎쌈*쌈장,배추김치,밤만쥬
2021-07-30,tue,91,*밥버거*(참치마요.볶음김치),얼큰어묵탕,돈까스샐러드,어니언감자치즈소스,,수제피클,수박
2021-08-02,wed,159,쌀밥/기장밥,닭개장,떡갈비&구운야채,연근엿장조림,삼색겨자냉채,깍두기,망고주스
2021-08-03,mon,149,쌀밥/흑미밥,소고기미역국,매운돈갈비찜,꽃맛살샐러드,오이송송이,배추김치,아이스홍초
2021-08-04,tue,153,김가루작은밥,냉모밀,새우튀김/허니머스타드,몽글계란찜,,비트무피클,냉미숫가루
2021-08-05,wed,115,감자탕볶음밥,팽이된장국,브로콜리비엔나볶음,푸실리펜네샐러드,견과류멸치볶음,깍두기,수박
2021-08-06,thu,82,백미밥,순대국밥*다대기,오징어초무침,왕만두*초간장,무양파간장지,깍두기,그린샐러드
2021-08-09,fri,169,쌀밥/차조밥,청량콩나물냉국,구름치즈찜닭,타코야끼,방울토마토샐러드,배추김치,매실주스
2021-08-10,mon,158,쌀밥/기장밥,닭곰탕,고추장불고기,알감자엿장조림,리코타샐러드&발사믹d,배추김치,식혜
2021-08-11,tue,112,떠먹는유부초밥,미니우동,매콤국물떡볶이,납작만두*양념장,단무지무침,배추김치,어니언치즈감자
